ttft,e2e,tbt
0.5702806140761822,7.907294844975695,0.007170512724006849
0.1517745889723301,7.488423412898555,0.007170429508104367
0.1494449800811708,7.486656342167407,0.007170560241031405
0.14845513412728906,7.485879888990894,0.007170600927446697
0.14699372206814587,7.483132985886186,0.007170444724713529
0.14502823818475008,0.21719179605133832,0.006646045457778705
0.14356435299851,7.480391754070297,0.007170474523166786
0.14178646309301257,7.479458977933973,0.007170643186777509
0.1402076950762421,7.472562029957771,0.007164760370295447
0.14172790804877877,7.478203054983169,0.007170372344881209
